Neighborhood,Overall Qual,Year Built,Garage Area,TotalFullBath,Exter Qual,Kitchen Qual,Gr Liv Area,Foundation,Total Bsmt SF,Total Bath,Overall,Exter,Surface_sup,Renovation,Surface_sup_ext,Bsmt,Saleprice_m2_quartier,1st Flr SF,Full Bath,SalePrice,Garage,Renovation,Saleprice_med_quartier,Saleprice_mean_quartier
NAmes,6,1955,364.0,2,6,TA,1520,CBlock,1156.0,2.0,12,12,1520.0,50,189,18.0,119.55,1520,1,153000,12.0,50,140000.0,145097
NAmes,5,1954,244.0,1,6,TA,1268,PConc,1268.0,1.0,11,12,1512.0,68,0,14.0,119.55,1268,1,132000,12.0,68,140000.0,145097
NAmes,6,1966,315.0,2,6,Gd,1128,CBlock,1080.0,2.0,14,12,1395.0,14,0,20.0,119.55,1128,1,178000,12.0,14,140000.0,145097
NAmes,5,1960,480.0,2,6,TA,2274,CBlock,1105.0,2.0,10,12,1585.0,62,0,14.0,119.55,1105,2,154300,12.0,62,140000.0,145097
NAmes,7,1970,576.0,3,6,TA,2207,CBlock,1947.0,3.0,12,12,2523.0,33,0,22.0,119.55,2207,2,180000,12.0,33,140000.0,145097
NAmes,6,1966,578.0,2,8,Gd,1888,CBlock,1517.0,2.5,12,14,2095.0,20,0,14.0,119.55,1888,2,190000,12.0,20,140000.0,145097
NAmes,5,1958,576.0,2,6,TA,1604,CBlock,1604.0,2.0,10,12,2180.0,64,0,14.0,119.55,1604,2,135000,12.0,64,140000.0,145097
NAmes,7,2003,620.0,3,8,Gd,1480,PConc,1480.0,3.0,12,14,2100.0,13,0,16.0,119.55,1480,2,214000,12.0,13,140000.0,145097
NAmes,5,1959,308.0,2,6,TA,1143,CBlock,1143.0,2.0,10,12,1451.0,63,0,14.0,119.55,1143,1,136000,12.0,63,140000.0,145097
NAmes,5,1959,447.0,1,6,Gd,1700,CBlock,1398.0,2.0,10,12,1845.0,63,0,14.0,119.55,1700,1,165500,12.0,63,140000.0,145097
NAmes,5,1957,294.0,2,6,TA,1314,CBlock,1314.0,2.0,11,14,1608.0,65,0,14.0,119.55,1314,1,145000,12.0,65,140000.0,145097
NAmes,6,1959,312.0,2,6,TA,1194,CBlock,1194.0,2.0,12,12,1506.0,63,120,14.0,119.55,1194,1,148000,12.0,63,140000.0,145097
NAmes,5,1959,531.0,2,6,TA,1188,CBlock,1188.0,2.0,10,12,1719.0,63,0,14.0,119.55,1188,1,142000,12.0,63,140000.0,145097
NAmes,5,1960,461.0,2,6,TA,1264,CBlock,1268.0,2.0,10,12,1729.0,62,143,14.0,119.55,1264,1,167500,12.0,62,140000.0,145097
NAmes,5,1959,312.0,1,6,TA,1206,CBlock,1206.0,1.0,10,12,1518.0,63,0,14.0,119.55,1206,1,108538,12.0,63,140000.0,145097
NAmes,6,1959,440.0,2,6,TA,1580,CBlock,1244.0,2.5,11,12,1684.0,63,160,14.0,119.55,1580,1,159500,12.0,63,140000.0,145097
NAmes,4,1956,263.0,1,6,TA,1337,CBlock,832.0,1.0,9,12,1095.0,66,0,14.0,119.55,832,1,108000,12.0,66,140000.0,145097
NAmes,5,1952,318.0,1,6,Fa,1064,CBlock,864.0,1.5,12,12,1182.0,70,0,14.0,119.55,1064,1,135000,12.0,70,140000.0,145097
NAmes,5,1955,305.0,1,6,TA,972,CBlock,972.0,1.0,11,14,1277.0,67,205,14.0,119.55,972,1,122500,12.0,67,140000.0,145097
NAmes,5,1958,264.0,2,6,TA,988,CBlock,988.0,2.0,10,12,1252.0,64,0,18.0,119.55,988,1,119000,12.0,64,140000.0,145097
NAmes,5,1953,246.0,2,6,Gd,1057,CBlock,1057.0,2.0,12,14,1303.0,15,0,14.0,119.55,1057,1,109000,12.0,15,140000.0,145097
NAmes,4,1920,676.0,1,6,TA,985,BrkTil,576.0,1.5,11,12,1252.0,28,0,14.0,119.55,985,1,105000,12.0,28,140000.0,145097
NAmes,5,1955,392.0,1,6,TA,827,Slab,0.0,1.0,12,12,392.0,15,0,14.0,119.55,827,1,107500,12.0,15,140000.0,145097
NAmes,5,1954,490.0,2,6,TA,1086,CBlock,1086.0,2.0,12,12,1576.0,19,0,14.0,119.55,1086,1,144900,12.0,19,140000.0,145097
NAmes,5,1956,308.0,2,6,TA,936,CBlock,936.0,2.0,12,12,1244.0,22,240,14.0,119.55,936,1,129000,12.0,22,140000.0,145097
NAmes,6,1948,330.0,1,6,TA,1458,CBlock,912.0,1.5,11,12,1242.0,72,0,14.0,119.55,912,1,97500,12.0,72,140000.0,145097
NAmes,5,1959,576.0,2,6,Gd,1287,CBlock,1063.0,2.0,12,14,1639.0,16,182,14.0,119.55,1287,1,162000,12.0,16,140000.0,145097
NAmes,7,1967,564.0,2,8,Gd,2978,CBlock,710.0,2.5,14,16,1274.0,15,0,16.0,119.55,1898,2,242000,12.0,15,140000.0,145097
NAmes,6,1948,280.0,2,6,TA,1224,CBlock,816.0,2.0,14,12,1096.0,18,0,14.0,119.55,816,1,132000,12.0,18,140000.0,145097
NAmes,5,1959,305.0,2,6,Gd,1246,CBlock,1246.0,2.5,12,12,1551.0,28,0,14.0,119.55,1246,1,154000,12.0,28,140000.0,145097
NAmes,5,1952,720.0,2,6,TA,1385,CBlock,910.0,2.0,9,10,1630.0,70,0,14.0,119.55,910,2,166000,12.0,70,140000.0,145097
NAmes,5,1951,576.0,1,6,Gd,900,CBlock,900.0,1.5,12,12,1476.0,22,0,16.0,119.55,900,1,134800,12.0,22,140000.0,145097
NAmes,6,1962,440.0,1,6,TA,1116,CBlock,1116.0,1.5,12,12,1556.0,60,385,14.0,119.55,1116,1,160000,12.0,60,140000.0,145097
NAmes,5,1960,484.0,1,6,TA,1175,CBlock,1175.0,1.5,11,12,1659.0,62,0,14.0,119.55,1175,1,148000,12.0,62,140000.0,145097
NAmes,6,1963,440.0,2,6,TA,1395,CBlock,1395.0,2.0,13,12,1835.0,38,353,20.0,119.55,1395,1,192000,12.0,38,140000.0,145097
NAmes,6,1966,442.0,1,6,TA,1839,CBlock,756.0,1.5,11,12,1198.0,56,216,14.0,119.55,1051,1,155000,12.0,56,140000.0,145097
NAmes,6,1956,502.0,1,6,TA,882,CBlock,882.0,1.0,11,12,1384.0,66,0,10.0,119.55,882,1,124500,12.0,66,140000.0,145097
NAmes,6,1974,528.0,3,6,TA,1434,CBlock,1434.0,3.0,11,12,1962.0,48,0,14.0,119.55,1434,2,157000,12.0,48,140000.0,145097
NAmes,8,1972,538.0,3,8,Ex,2704,CBlock,1952.0,3.5,15,14,2490.0,27,0,22.0,119.55,2000,2,345000,12.0,27,140000.0,145097
NAmes,5,1974,0.0,2,6,TA,1792,CBlock,896.0,3.0,10,12,896.0,48,0,16.0,119.55,896,2,136000,,48,140000.0,145097
NAmes,5,1970,902.0,2,6,TA,1002,CBlock,1002.0,2.0,11,12,1904.0,52,0,14.0,119.55,1002,1,148500,12.0,52,140000.0,145097
NAmes,6,1969,440.0,2,6,Gd,1026,CBlock,1026.0,2.0,14,12,1466.0,17,0,14.0,119.55,1026,1,156000,12.0,17,140000.0,145097
NAmes,5,1970,477.0,1,6,TA,1180,CBlock,1180.0,1.5,10,12,1657.0,52,0,14.0,119.55,1180,1,128000,12.0,52,140000.0,145097
NAmes,5,1971,336.0,2,6,TA,1050,CBlock,1043.0,2.5,12,12,1379.0,51,0,16.0,119.55,1050,1,143000,12.0,51,140000.0,145097
NAmes,4,1970,576.0,2,6,TA,864,CBlock,864.0,2.0,10,12,1440.0,52,0,14.0,119.55,864,1,76500,12.0,52,140000.0,145097
NAmes,4,1970,660.0,1,6,Gd,864,CBlock,864.0,1.0,10,12,1524.0,52,0,14.0,119.55,864,1,120500,12.0,52,140000.0,145097
NAmes,4,1970,463.0,1,6,TA,864,CBlock,864.0,1.0,11,14,1327.0,52,0,14.0,119.55,864,1,124500,12.0,52,140000.0,145097
NAmes,4,1971,576.0,1,6,TA,864,CBlock,864.0,1.0,10,12,1440.0,51,0,14.0,119.55,864,1,97000,12.0,51,140000.0,145097
NAmes,4,1971,576.0,1,6,TA,864,CBlock,864.0,1.0,11,14,1440.0,16,0,14.0,119.55,864,1,130000,12.0,16,140000.0,145097
NAmes,5,1967,288.0,1,6,TA,892,CBlock,892.0,1.0,10,12,1180.0,55,0,14.0,119.55,892,1,100000,12.0,55,140000.0,145097
NAmes,5,1966,656.0,1,8,TA,1120,PConc,864.0,1.5,12,14,1520.0,18,0,14.0,119.55,1120,1,148800,12.0,18,140000.0,145097
NAmes,5,1967,312.0,1,6,TA,864,PConc,864.0,1.5,11,12,1176.0,55,0,14.0,119.55,864,1,130000,12.0,55,140000.0,145097
NAmes,5,1967,440.0,1,6,TA,1568,CBlock,1568.0,1.5,10,12,2008.0,55,0,14.0,119.55,1568,1,143000,12.0,55,140000.0,145097
NAmes,5,1965,429.0,1,6,TA,925,CBlock,925.0,1.5,11,12,1354.0,57,0,14.0,119.55,925,1,117500,12.0,57,140000.0,145097
NAmes,4,1960,396.0,2,6,TA,894,CBlock,894.0,2.0,11,12,1290.0,62,0,14.0,119.55,894,1,141500,12.0,62,140000.0,145097
NAmes,5,1959,308.0,1,6,TA,864,CBlock,864.0,1.0,12,12,1172.0,63,0,14.0,119.55,864,1,118000,12.0,63,140000.0,145097
NAmes,6,1959,300.0,1,6,TA,864,CBlock,864.0,1.0,12,12,1164.0,63,0,14.0,119.55,864,1,127500,20.0,63,140000.0,145097
NAmes,4,1957,768.0,2,6,TA,1362,CBlock,1040.0,2.0,9,12,1808.0,65,84,14.0,119.55,1362,1,140000,12.0,65,140000.0,145097
NAmes,5,1956,576.0,3,6,TA,1728,CBlock,1048.0,3.0,11,14,1624.0,66,0,14.0,119.55,1728,2,177625,12.0,66,140000.0,145097
NAmes,5,1958,888.0,3,6,TA,1776,CBlock,1584.0,3.0,10,12,2472.0,64,0,14.0,119.55,1776,2,110000,12.0,64,140000.0,145097
NAmes,6,1964,472.0,1,6,TA,1516,CBlock,1516.0,1.5,12,12,1988.0,58,152,14.0,119.55,1516,1,167000,12.0,58,140000.0,145097
NAmes,5,1961,610.0,2,6,Gd,1313,CBlock,1313.0,2.5,11,12,1923.0,27,121,14.0,119.55,1313,1,153000,12.0,27,140000.0,145097
NAmes,5,1964,520.0,2,6,TA,1292,CBlock,1292.0,2.5,10,14,1812.0,58,92,14.0,119.55,1292,1,145100,12.0,58,140000.0,145097
NAmes,5,1966,480.0,1,6,TA,1154,CBlock,1154.0,1.5,11,12,1634.0,56,0,16.0,119.55,1154,1,154000,12.0,56,140000.0,145097
NAmes,5,1965,549.0,2,6,TA,2140,CBlock,744.0,2.5,11,14,1293.0,57,264,14.0,119.55,825,2,177500,12.0,57,140000.0,145097
NAmes,6,1964,645.0,1,6,TA,1445,CBlock,1127.0,1.5,12,14,1772.0,58,0,20.0,119.55,1445,1,158000,12.0,58,140000.0,145097
NAmes,5,1959,270.0,2,6,TA,1041,CBlock,1041.0,2.0,11,12,1311.0,63,0,14.0,119.55,1041,1,124500,12.0,63,140000.0,145097
NAmes,6,1961,368.0,2,6,Gd,1576,CBlock,1208.0,2.0,12,12,1576.0,61,0,20.0,119.55,1576,1,174500,12.0,61,140000.0,145097
NAmes,5,1955,330.0,2,6,TA,960,CBlock,960.0,2.0,10,12,1290.0,67,0,14.0,119.55,960,1,122000,12.0,67,140000.0,145097
NAmes,6,1953,505.0,2,6,TA,1505,CBlock,1505.0,2.0,10,12,2010.0,69,0,14.0,119.55,1505,1,149500,12.0,69,140000.0,145097
NAmes,6,1967,550.0,2,8,TA,1691,CBlock,1680.0,2.0,11,14,2230.0,55,260,14.0,119.55,1691,1,175000,14.0,55,140000.0,145097
NAmes,6,1953,418.0,2,6,TA,1644,CBlock,1416.0,2.0,11,12,1834.0,69,0,14.0,119.55,1644,1,167000,12.0,69,140000.0,145097
NAmes,5,1956,338.0,1,6,TA,1050,CBlock,1050.0,1.0,11,12,1388.0,66,0,14.0,119.55,1050,1,128900,12.0,66,140000.0,145097
NAmes,6,1950,271.0,1,6,TA,1668,CBlock,856.0,1.5,14,14,1127.0,17,0,14.0,119.55,1112,1,140000,12.0,17,140000.0,145097
NAmes,5,1950,264.0,1,8,Gd,1113,CBlock,1113.0,1.0,12,14,1377.0,15,120,14.0,119.55,1113,1,147000,12.0,15,140000.0,145097
NAmes,5,1967,792.0,2,6,TA,1584,CBlock,1584.0,2.0,10,12,2376.0,55,0,14.0,119.55,1584,2,124000,12.0,55,140000.0,145097
NAmes,6,1961,530.0,3,6,TA,1453,CBlock,1453.0,3.0,12,12,1983.0,61,288,14.0,119.55,1453,2,187500,12.0,61,140000.0,145097
NAmes,6,1963,514.0,2,6,TA,1394,CBlock,1394.0,2.5,11,12,1908.0,59,185,16.0,119.55,1394,1,159000,12.0,59,140000.0,145097
NAmes,6,1966,542.0,3,6,Gd,1567,CBlock,1562.0,3.0,14,14,2104.0,14,342,14.0,119.55,1567,2,256000,12.0,14,140000.0,145097
NAmes,7,1965,486.0,2,6,TA,1986,CBlock,768.0,2.5,13,12,1254.0,32,189,14.0,119.55,1186,2,205000,12.0,32,140000.0,145097
NAmes,6,1968,509.0,2,6,Gd,2142,CBlock,896.0,2.5,12,14,1405.0,54,252,16.0,119.55,1182,2,193500,12.0,54,140000.0,145097
NAmes,6,1968,576.0,2,6,TA,1392,CBlock,1392.0,2.0,9,12,1968.0,54,240,10.0,119.55,1392,1,110000,12.0,54,140000.0,145097
NAmes,4,1920,368.0,2,6,TA,1738,BrkTil,715.0,2.0,8,14,1083.0,15,0,12.0,119.55,1281,2,104900,12.0,15,140000.0,145097
NAmes,5,1956,286.0,2,8,TA,1144,CBlock,1169.0,2.0,12,14,1455.0,66,0,14.0,119.55,1144,1,150000,12.0,66,140000.0,145097
NAmes,6,1957,442.0,2,6,TA,1478,CBlock,1478.0,2.5,9,12,1920.0,65,216,14.0,119.55,1478,1,156500,12.0,65,140000.0,145097
NAmes,7,1960,441.0,1,6,TA,1329,CBlock,1329.0,1.5,13,12,1770.0,62,203,14.0,119.55,1329,1,176000,12.0,62,140000.0,145097
NAmes,6,1959,297.0,3,8,Gd,988,CBlock,988.0,3.0,14,14,1285.0,24,0,14.0,119.55,988,2,149500,12.0,24,140000.0,145097
NAmes,6,1958,338.0,3,6,TA,1632,CBlock,1240.0,3.0,12,12,1578.0,34,0,14.0,119.55,1632,2,139000,12.0,34,140000.0,145097
NAmes,6,1958,297.0,1,6,TA,1215,CBlock,1215.0,1.0,13,12,1512.0,24,234,12.0,119.55,1215,1,155000,12.0,24,140000.0,145097
NAmes,5,1956,304.0,1,6,TA,1202,CBlock,1202.0,1.5,10,12,1506.0,66,120,14.0,119.55,1202,1,120000,12.0,66,140000.0,145097
NAmes,5,1955,350.0,1,6,Gd,1382,CBlock,1382.0,1.5,10,12,1732.0,67,0,14.0,119.55,1382,1,153000,12.0,67,140000.0,145097
NAmes,4,1956,294.0,2,6,TA,1200,CBlock,1200.0,2.0,9,12,1494.0,66,140,14.0,119.55,1200,1,144000,12.0,66,140000.0,145097
NAmes,6,1962,884.0,2,6,TA,1382,CBlock,1362.0,2.0,11,12,2246.0,60,252,20.0,119.55,1382,1,176000,12.0,60,140000.0,145097
NAmes,5,1954,498.0,1,6,TA,1297,CBlock,1297.0,1.5,11,12,1795.0,32,0,14.0,119.55,1297,1,153000,12.0,32,140000.0,145097
NAmes,5,1958,495.0,2,6,TA,1866,PConc,1866.0,2.0,9,12,2361.0,64,0,14.0,119.55,1866,2,135000,10.0,64,140000.0,145097
NAmes,6,1954,297.0,2,6,TA,1062,CBlock,1062.0,2.0,13,12,1359.0,68,0,14.0,119.55,1062,1,131000,12.0,68,140000.0,145097
NAmes,5,1953,270.0,2,6,TA,1319,PConc,608.0,2.0,11,12,878.0,69,0,14.0,119.55,1319,1,123000,12.0,69,140000.0,145097
NAmes,5,1951,480.0,1,6,TA,1112,CBlock,631.0,1.0,10,12,1111.0,71,255,14.0,119.55,1112,1,126000,12.0,71,140000.0,145097
NAmes,4,1955,672.0,1,6,Fa,1005,CBlock,1005.0,1.0,9,12,1677.0,67,0,14.0,119.55,1005,1,115000,8.0,67,140000.0,145097
NAmes,5,1951,288.0,2,8,TA,1363,CBlock,1008.0,2.0,12,14,1296.0,22,168,14.0,119.55,1363,1,164900,12.0,22,140000.0,145097
NAmes,5,1945,240.0,2,6,Fa,793,CBlock,793.0,2.0,11,14,1033.0,72,0,14.0,119.55,793,1,113000,12.0,72,140000.0,145097
NAmes,5,1952,230.0,2,8,Gd,1031,CBlock,1031.0,2.0,13,14,1261.0,17,0,14.0,119.55,1031,1,145500,12.0,17,140000.0,145097
NAmes,5,1953,616.0,1,6,TA,1210,Slab,0.0,1.5,10,12,616.0,69,100,14.0,119.55,1210,1,102900,12.0,69,140000.0,145097
NAmes,7,1948,410.0,2,6,TA,1527,CBlock,699.0,2.5,14,12,1109.0,23,134,16.0,119.55,801,1,152500,12.0,23,140000.0,145097
NAmes,5,1950,246.0,1,6,TA,1200,CBlock,1200.0,1.0,11,12,1446.0,72,0,14.0,119.55,1200,1,129900,12.0,72,140000.0,145097
NAmes,6,1948,240.0,2,6,TA,972,CBlock,972.0,2.0,12,14,1212.0,20,0,14.0,119.55,972,1,132000,12.0,20,140000.0,145097
NAmes,6,1969,907.0,2,6,TA,2544,CBlock,1248.0,3.0,11,12,2155.0,53,0,14.0,119.55,1248,2,190000,12.0,53,140000.0,145097
NAmes,6,1963,364.0,1,6,TA,1380,CBlock,1380.0,1.5,13,12,1744.0,59,216,14.0,119.55,1380,1,154000,12.0,59,140000.0,145097
NAmes,6,1967,480.0,2,4,TA,1040,CBlock,1040.0,2.0,10,10,1520.0,55,156,12.0,119.55,1040,1,163000,12.0,55,140000.0,145097
NAmes,5,1969,968.0,3,6,TA,2634,CBlock,1248.0,4.5,10,12,2216.0,53,0,14.0,119.55,1338,2,200000,12.0,53,140000.0,145097
NAmes,6,1958,480.0,2,8,Gd,951,CBlock,951.0,2.0,15,16,1431.0,15,42,16.0,119.55,951,1,143500,12.0,15,140000.0,145097
NAmes,6,1957,308.0,1,6,TA,1105,CBlock,1105.0,1.0,12,12,1413.0,65,0,14.0,119.55,1105,1,135000,12.0,65,140000.0,145097
NAmes,5,1957,756.0,2,6,TA,1306,CBlock,992.0,2.0,12,14,1748.0,22,0,16.0,119.55,1306,1,153000,12.0,22,140000.0,145097
NAmes,6,1960,498.0,3,6,TA,1478,CBlock,1478.0,3.0,11,12,1976.0,62,0,14.0,119.55,1478,2,157500,12.0,62,140000.0,145097
NAmes,6,1958,384.0,1,6,TA,1142,CBlock,160.0,1.0,12,12,544.0,64,64,22.0,119.55,1142,1,113500,12.0,64,140000.0,145097
NAmes,5,1949,288.0,1,8,TA,1268,CBlock,832.0,1.0,12,14,1120.0,72,0,14.0,119.55,1036,1,133000,12.0,72,140000.0,145097
NAmes,3,1950,400.0,2,6,TA,1040,Slab,0.0,2.0,7,12,400.0,72,0,14.0,119.55,1040,2,92900,12.0,72,140000.0,145097
NAmes,6,1950,900.0,1,6,TA,1133,CBlock,795.0,1.0,11,12,1695.0,72,231,18.0,119.55,765,1,128500,12.0,72,140000.0,145097
NAmes,4,1949,420.0,2,6,TA,1040,Slab,0.0,2.0,9,12,420.0,72,0,14.0,119.55,1040,2,90000,12.0,72,140000.0,145097
NAmes,5,1950,240.0,2,6,TA,1904,CBlock,1208.0,2.5,9,12,1448.0,40,168,14.0,119.55,1136,1,138000,12.0,40,140000.0,145097
NAmes,5,1958,294.0,1,6,TA,1041,CBlock,1041.0,1.0,11,12,1335.0,64,0,14.0,119.55,1041,1,128000,12.0,64,140000.0,145097
NAmes,5,1958,294.0,1,6,TA,1339,CBlock,1029.0,1.0,11,12,1323.0,57,0,14.0,119.55,1339,1,139000,12.0,57,140000.0,145097
NAmes,5,1952,240.0,2,6,TA,732,CBlock,732.0,2.0,12,14,972.0,70,0,16.0,119.55,732,1,118900,12.0,70,140000.0,145097
NAmes,5,1959,288.0,2,6,TA,1183,CBlock,528.0,2.0,10,12,816.0,63,0,20.0,119.55,1183,1,138000,12.0,63,140000.0,145097
NAmes,5,1959,672.0,2,6,TA,1148,CBlock,1148.0,2.0,10,12,1820.0,63,0,14.0,119.55,1148,1,132500,12.0,63,140000.0,145097
NAmes,4,1949,384.0,2,6,TA,1461,CBlock,832.0,2.0,11,12,1216.0,26,0,14.0,119.55,832,2,133500,12.0,26,140000.0,145097
NAmes,6,1948,576.0,1,6,TA,1495,CBlock,864.0,1.0,13,12,1440.0,28,0,14.0,119.55,1064,1,135000,12.0,28,140000.0,145097
NAmes,6,1964,483.0,1,6,TA,1806,CBlock,780.0,1.5,11,12,1263.0,58,0,14.0,119.55,993,1,144750,12.0,58,140000.0,145097
NAmes,5,1978,564.0,2,6,Gd,941,CBlock,941.0,2.0,12,14,1505.0,44,0,20.0,119.55,941,1,145000,12.0,44,140000.0,145097
NAmes,6,1963,264.0,2,6,TA,1045,CBlock,1045.0,2.0,12,12,1309.0,59,0,14.0,119.55,1045,1,127000,12.0,59,140000.0,145097
NAmes,5,1962,308.0,1,6,TA,894,CBlock,894.0,1.0,10,12,1202.0,60,0,14.0,119.55,894,1,109500,12.0,60,140000.0,145097
NAmes,6,1958,601.0,2,10,TA,1414,CBlock,1184.0,2.0,14,16,1785.0,20,190,16.0,119.55,1414,1,176500,12.0,20,140000.0,145097
NAmes,6,1970,550.0,2,6,TA,2117,CBlock,1205.0,2.5,13,12,1755.0,52,0,16.0,119.55,2117,2,237500,12.0,52,140000.0,145097
NAmes,6,1969,576.0,2,6,TA,2112,CBlock,952.0,2.5,11,12,1528.0,53,0,14.0,119.55,1092,2,206900,12.0,53,140000.0,145097
NAmes,5,1974,480.0,2,6,TA,1792,CBlock,896.0,3.0,10,12,1376.0,48,0,18.0,119.55,896,2,133000,12.0,48,140000.0,145097
NAmes,6,1969,460.0,2,6,TA,1054,CBlock,1054.0,2.5,14,12,1514.0,53,80,16.0,119.55,1054,1,151000,12.0,53,140000.0,145097
NAmes,4,1969,288.0,1,6,TA,936,CBlock,936.0,1.0,10,12,1224.0,53,0,18.0,119.55,936,1,111900,12.0,53,140000.0,145097
NAmes,5,1971,576.0,2,6,TA,864,CBlock,864.0,2.0,10,12,1440.0,51,0,16.0,119.55,864,1,123000,12.0,51,140000.0,145097
NAmes,4,1972,576.0,1,6,TA,864,CBlock,864.0,1.0,9,12,1440.0,50,0,14.0,119.55,864,1,111250,12.0,50,140000.0,145097
NAmes,6,1998,511.0,3,8,Gd,1337,PConc,1405.0,3.0,11,14,1916.0,23,0,16.0,119.55,1337,2,181000,12.0,23,140000.0,145097
NAmes,5,1966,264.0,1,6,TA,892,CBlock,864.0,1.0,10,12,1128.0,56,0,14.0,119.55,892,1,110000,12.0,56,140000.0,145097
NAmes,5,1968,470.0,1,6,TA,1464,CBlock,732.0,1.5,11,12,1202.0,54,0,14.0,119.55,732,1,141000,12.0,54,140000.0,145097
NAmes,5,1965,576.0,2,6,Gd,912,CBlock,912.0,2.0,13,12,1488.0,14,0,14.0,119.55,912,1,147000,12.0,14,140000.0,145097
NAmes,5,1965,576.0,2,8,TA,925,CBlock,912.0,2.0,12,14,1488.0,17,0,14.0,119.55,925,1,135000,12.0,17,140000.0,145097
NAmes,5,1965,576.0,2,6,TA,1728,CBlock,1728.0,2.0,10,12,2304.0,57,0,14.0,119.55,1728,2,145000,12.0,57,140000.0,145097
NAmes,5,1965,576.0,2,6,TA,1728,CBlock,1728.0,2.0,10,12,2304.0,57,0,14.0,119.55,1728,2,142600,12.0,57,140000.0,145097
NAmes,7,1961,588.0,2,10,Ex,999,CBlock,944.0,2.0,16,16,1532.0,15,0,18.0,119.55,999,1,178400,12.0,15,140000.0,145097
NAmes,5,1956,267.0,1,6,TA,1014,Slab,0.0,1.0,10,12,267.0,66,240,14.0,119.55,1014,1,98000,12.0,66,140000.0,145097
