MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,TotalFullBath,TotalHalfBath,Total Bath,Overall,Exter,Garage,Surface_sup,Renovation,Surface_sup_ext,Bsmt,SalePrice_m2,Saleprice_m2_quartier,Saleprice_med_quartier,Saleprice_mean_quartier
20,RL,68.0,9717,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1950,1996,Hip,CompShg,MetalSd,MetalSd,None,0.0,6,6,CBlock,6.0,6.0,4.0,GLQ,49.0,Rec,1029.0,0.0,1078.0,GasA,Gd,Y,FuseA,1078,0,0,1078,1.0,0.0,1,0,2,1,Gd,5,Typ,0,Attchd,1950.0,Unf,1.0,240.0,6.0,6.0,Y,366,0,112,0,0,0,0,4,2010,WD ,Normal,142125,2.0,0.0,2.0,11,12,12.0,1318.0,26,112,16.0,131.8413729128015,119.55,140000.0,145097
50,RL,68.0,9724,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,7,1952,2002,Gable,CompShg,MetalSd,MetalSd,BrkFace,265.0,8,6,CBlock,6.0,6.0,2.0,LwQ,670.0,Unf,0.0,470.0,1140.0,GasA,Gd,Y,SBrkr,1929,532,0,2461,0.0,0.0,2,0,3,1,TA,7,Min2,2,Detchd,1994.0,Unf,2.0,400.0,6.0,6.0,Y,0,0,0,0,0,0,0,3,2010,WD ,Normal,197600,2.0,0.0,2.0,12,14,12.0,1540.0,20,0,14.0,80.29256399837465,119.55,140000.0,145097
50,RL,120.0,17360,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,6,1949,1950,Gable,CompShg,MetalSd,MetalSd,Stone,340.0,6,8,CBlock,6.0,6.0,2.0,Rec,300.0,Unf,0.0,482.0,782.0,GasA,TA,Y,SBrkr,1019,537,0,1556,0.0,0.0,2,0,3,1,TA,6,Typ,1,Attchd,1949.0,Unf,2.0,470.0,6.0,6.0,Y,0,0,150,0,0,0,0,1,2010,WD ,Normal,172500,2.0,0.0,2.0,12,14,12.0,1252.0,72,150,14.0,110.8611825192802,119.55,140000.0,145097
20,RL,80.0,9920,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,6,6,CBlock,6.0,6.0,2.0,Rec,354.0,LwQ,290.0,412.0,1056.0,GasA,TA,Y,SBrkr,1063,0,0,1063,1.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,1954.0,RFn,1.0,280.0,6.0,6.0,Y,0,0,164,0,0,0,0,2,2010,WD ,Normal,128000,2.0,0.0,2.0,10,12,12.0,1336.0,68,164,14.0,120.41392285983066,119.55,140000.0,145097
80,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,6,1955,1972,Gable,CompShg,AsbShng,AsbShng,BrkFace,164.0,6,6,CBlock,6.0,6.0,6.0,BLQ,674.0,LwQ,132.0,350.0,1156.0,GasA,Ex,Y,SBrkr,1520,0,0,1520,1.0,0.0,1,0,3,1,TA,7,Typ,2,Basment,1955.0,RFn,1.0,364.0,6.0,6.0,Y,0,0,189,0,0,0,0,3,2010,WD ,Normal,153000,2.0,0.0,2.0,12,12,12.0,1520.0,50,189,18.0,100.65789473684211,119.55,140000.0,145097
20,RL,78.0,7800,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,HdBoard,HdBoard,BrkFace,200.0,6,6,PConc,6.0,6.0,2.0,LwQ,540.0,Unf,0.0,728.0,1268.0,GasA,Gd,Y,SBrkr,1268,0,0,1268,0.0,0.0,1,0,2,1,TA,7,Typ,1,Attchd,1954.0,Fin,1.0,244.0,6.0,6.0,Y,0,98,0,0,0,0,0,3,2010,WD ,Normal,132000,1.0,0.0,1.0,11,12,12.0,1512.0,68,0,14.0,104.10094637223975,119.55,140000.0,145097
85,RL,75.0,11380,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SFoyer,6,8,1966,2008,Gable,CompShg,HdBoard,HdBoard,BrkFace,216.0,6,6,CBlock,6.0,6.0,8.0,GLQ,944.0,Unf,0.0,136.0,1080.0,GasA,Gd,Y,SBrkr,1128,0,0,1128,1.0,0.0,1,0,2,1,Gd,5,Typ,1,Attchd,1966.0,Unf,1.0,315.0,6.0,6.0,Y,238,0,0,0,0,0,1500,1,2010,WD ,Normal,178000,2.0,0.0,2.0,14,12,12.0,1395.0,14,0,20.0,157.80141843971631,119.55,140000.0,145097
90,RL,80.0,11600,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,Duplex,2Story,5,5,1960,1960,Gable,CompShg,MetalSd,MetalSd,BrkFace,361.0,6,6,CBlock,6.0,6.0,2.0,Rec,443.0,Unf,0.0,662.0,1105.0,GasA,TA,Y,FuseA,1105,1169,0,2274,0.0,0.0,2,0,5,2,TA,12,Typ,0,Detchd,1960.0,Unf,2.0,480.0,6.0,6.0,Y,0,0,0,0,0,0,0,1,2010,WD ,Normal,154300,2.0,0.0,2.0,10,12,12.0,1585.0,62,0,14.0,67.85400175901495,119.55,140000.0,145097
20,RL,,19900,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,7,5,1970,1989,Gable,CompShg,Plywood,Plywood,BrkFace,287.0,6,6,CBlock,8.0,6.0,8.0,GLQ,912.0,Unf,0.0,1035.0,1947.0,GasA,TA,Y,SBrkr,2207,0,0,2207,1.0,0.0,2,0,3,1,TA,7,Min1,1,Attchd,1970.0,RFn,2.0,576.0,6.0,6.0,Y,301,0,0,0,0,0,0,7,2010,WD ,Normal,180000,3.0,0.0,3.0,12,12,12.0,2523.0,33,0,22.0,81.55867693701857,119.55,140000.0,145097
20,RL,137.0,16492,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,8,6,CBlock,6.0,6.0,2.0,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,Ex,Y,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,Gd,6,Mod,1,Attchd,1966.0,Fin,2.0,578.0,6.0,6.0,Y,0,0,0,0,0,0,0,6,2010,WD ,Normal,190000,2.0,1.0,2.5,12,14,12.0,2095.0,20,0,14.0,100.63559322033899,119.55,140000.0,145097
90,RL,70.0,8267,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,Duplex,1Story,5,5,1958,1958,Gable,CompShg,HdBoard,HdBoard,None,0.0,6,6,CBlock,6.0,6.0,2.0,Unf,0.0,Unf,0.0,1604.0,1604.0,GasA,TA,Y,SBrkr,1604,0,0,1604,0.0,0.0,2,0,4,2,TA,8,Typ,0,Attchd,1958.0,Unf,2.0,576.0,6.0,6.0,Y,42,0,0,0,0,0,0,3,2010,WD ,Normal,135000,2.0,0.0,2.0,10,12,12.0,2180.0,64,0,14.0,84.16458852867831,119.55,140000.0,145097
20,RL,70.0,8197,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,2003,2009,Gable,CompShg,VinylSd,VinylSd,BrkFace,506.0,8,6,PConc,8.0,6.0,2.0,GLQ,1188.0,Unf,0.0,292.0,1480.0,GasA,Ex,Y,SBrkr,1480,0,0,1480,1.0,0.0,2,0,3,1,Gd,7,Typ,0,Attchd,2003.0,RFn,2.0,620.0,6.0,6.0,Y,252,73,0,0,0,0,300,2,2010,WD ,Normal,214000,3.0,0.0,3.0,12,14,12.0,2100.0,13,0,16.0,144.59459459459458,119.55,140000.0,145097
20,RL,,8050,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,150.0,6,6,CBlock,6.0,6.0,2.0,BLQ,856.0,Rec,162.0,125.0,1143.0,GasA,TA,Y,SBrkr,1143,0,0,1143,1.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,1959.0,RFn,1.0,308.0,6.0,6.0,Y,0,0,0,0,0,0,0,5,2010,WD ,Normal,136000,2.0,0.0,2.0,10,12,12.0,1451.0,63,0,14.0,118.98512685914261,119.55,140000.0,145097
20,RL,70.0,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,6,6,CBlock,6.0,6.0,2.0,Rec,1018.0,Unf,0.0,380.0,1398.0,GasA,Gd,Y,SBrkr,1700,0,0,1700,0.0,1.0,1,1,4,1,Gd,6,Typ,1,Attchd,1959.0,RFn,2.0,447.0,6.0,6.0,Y,0,38,0,0,0,0,0,4,2010,WD ,Normal,165500,1.0,2.0,2.0,10,12,12.0,1845.0,63,0,14.0,97.3529411764706,119.55,140000.0,145097
20,RL,70.0,8400,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1957,Gable,CompShg,MetalSd,MetalSd,None,0.0,6,8,CBlock,6.0,6.0,2.0,Rec,922.0,Unf,0.0,392.0,1314.0,GasA,TA,Y,SBrkr,1314,0,0,1314,1.0,0.0,1,0,3,1,TA,5,Typ,0,Attchd,1957.0,RFn,1.0,294.0,6.0,6.0,Y,250,0,0,0,0,0,0,6,2010,WD ,Normal,145000,2.0,0.0,2.0,11,14,12.0,1608.0,65,0,14.0,110.35007610350075,119.55,140000.0,145097
20,RL,73.0,8760,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,220.0,6,6,CBlock,6.0,6.0,2.0,Unf,0.0,Unf,0.0,1194.0,1194.0,GasA,TA,Y,SBrkr,1194,0,0,1194,1.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,1959.0,RFn,1.0,312.0,6.0,6.0,Y,0,0,120,0,0,0,0,4,2010,WD ,Normal,148000,2.0,0.0,2.0,12,12,12.0,1506.0,63,120,14.0,123.95309882747068,119.55,140000.0,145097
20,RL,,12160,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,6,6,CBlock,6.0,6.0,2.0,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,Fa,Y,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,1959.0,RFn,2.0,531.0,6.0,6.0,Y,0,0,0,0,0,0,0,5,2010,COD,Abnorml,142000,2.0,0.0,2.0,10,12,12.0,1719.0,63,0,14.0,119.52861952861953,119.55,140000.0,145097
20,RL,73.0,9300,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,5,1960,1960,Gable,CompShg,MetalSd,HdBoard,BrkFace,324.0,6,6,CBlock,6.0,6.0,2.0,Rec,697.0,Unf,0.0,571.0,1268.0,GasA,TA,Y,SBrkr,1264,0,0,1264,1.0,0.0,1,0,3,1,TA,6,Typ,2,Attchd,1960.0,Unf,2.0,461.0,6.0,6.0,Y,0,0,0,0,143,0,0,4,2010,WD ,Normal,167500,2.0,0.0,2.0,10,12,12.0,1729.0,62,143,14.0,132.51582278481013,119.55,140000.0,145097
20,RL,87.0,10725,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,MetalSd,MetalSd,BrkFace,91.0,6,6,CBlock,6.0,6.0,2.0,Rec,936.0,Unf,0.0,270.0,1206.0,GasA,Fa,Y,SBrkr,1206,0,0,1206,0.0,0.0,1,0,3,1,TA,6,Typ,0,Attchd,1959.0,RFn,1.0,312.0,6.0,6.0,Y,0,21,0,0,0,0,0,5,2010,WD ,Normal,108538,1.0,0.0,1.0,10,12,12.0,1518.0,63,0,14.0,89.9983416252073,119.55,140000.0,145097
20,RL,80.0,10032,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1959,1959,Gable,CompShg,Wd Sdng,Wd Sdng,Stone,432.0,6,6,CBlock,6.0,6.0,2.0,Rec,734.0,Unf,0.0,510.0,1244.0,GasA,Ex,Y,SBrkr,1580,0,0,1580,1.0,0.0,1,1,3,1,TA,6,Typ,2,Attchd,1956.0,Unf,2.0,440.0,6.0,6.0,Y,0,28,0,0,160,0,0,6,2010,WD ,Normal,159500,2.0,1.0,2.5,11,12,12.0,1684.0,63,160,14.0,100.9493670886076,119.55,140000.0,145097
50,RL,60.0,8382,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,4,5,1956,1956,Gable,CompShg,MetalSd,MetalSd,None,0.0,6,6,CBlock,6.0,6.0,2.0,Unf,0.0,Unf,0.0,832.0,832.0,GasA,TA,Y,FuseA,832,505,0,1337,0.0,0.0,1,0,3,1,TA,5,Typ,0,Attchd,1956.0,Unf,1.0,263.0,6.0,6.0,Y,0,0,0,0,0,0,0,2,2010,WD ,Normal,108000,1.0,0.0,1.0,9,12,12.0,1095.0,66,0,14.0,80.77786088257292,119.55,140000.0,145097
20,RL,60.0,10950,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1952,1952,Gable,CompShg,WdShing,Wd Shng,None,0.0,6,6,CBlock,6.0,6.0,2.0,BLQ,339.0,Unf,0.0,525.0,864.0,GasA,TA,Y,SBrkr,1064,0,0,1064,0.0,1.0,1,0,2,1,Fa,4,Typ,0,Detchd,1952.0,Unf,1.0,318.0,6.0,6.0,Y,0,0,0,0,0,0,0,5,2010,WD ,Normal,135000,1.0,1.0,1.5,12,12,12.0,1182.0,70,0,14.0,126.8796992481203,119.55,140000.0,145097
